"lsoa11cd","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01004255","Tower Hamlets 023C",95381.426227,1700.50713773966,5983,2,34.736,5983,2,0.258,3679,2,0.156,6024,2,21.131,13055,4,0.518,8898,3,0.533,8636,3,30.152,6851,3,29.211,9266,3,0.285,5089,2,0.533,439,1,-0.328,21392,7,0.387,7649,3,-1.152,30797,10,4.175,2147,1,-1.16,30064,10,1.979,448,1,1691,361,1181,149,1178.75
"E01004256","Tower Hamlets 024C",141976.308251,2285.01034850103,5676,2,35.605,5676,2,0.276,3000,1,0.157,5962,2,31.22,8103,3,0.29,11757,4,0.296,11989,4,29.559,7265,3,29.869,8890,3,0.286,5043,2,0.58,271,1,-0.015,16358,5,0.452,3938,2,-1.535,32183,10,4.159,2168,1,-1.184,30213,10,2.03,368,1,1927,510,1215,202,1173
"E01004257","Tower Hamlets 024D",123867.317738,2034.37179054309,6674,3,32.994,6674,3,0.221,5463,2,0.116,10235,4,30.161,8492,3,0.329,11232,4,1.091,2855,1,27.877,8541,3,32.258,7577,3,0.235,7785,3,0.398,1896,1,-0.221,19736,7,0.46,3557,2,-1.438,31959,10,3.932,2598,1,-0.985,28945,9,2.161,206,1,2157,630,1343,184,1286.25
"E01004258","Tower Hamlets 023D",99708.370887,1923.98772933571,12802,4,21.968,12802,4,0.129,12575,4,0.084,15498,5,6.528,25568,8,-0.273,20254,7,0.335,11422,4,37.294,3103,1,39.084,4591,2,0.151,13954,5,0.27,5942,2,-0.309,21110,7,0.181,28708,9,0.475,8292,3,2.935,4528,2,0.468,9632,3,1.446,1794,1,1580,266,1076,238,1099
"E01004259","Tower Hamlets 007A",132003.1621995,2384.89269598946,10040,4,26.215,10040,4,0.164,9303,3,0.089,14497,5,7.56,24418,8,0.449,9731,3,0.947,3961,2,27.822,8583,3,38.688,4726,2,0.308,4071,2,0.392,2043,1,-0.297,20925,7,0.207,26439,9,-1.574,32253,10,3.938,2585,1,0.252,12566,4,1.717,974,1,1744,264,1354,126,1359.25
"E01004260","Tower Hamlets 007B",98769.4727775,1634.20332430179,6995,3,32.227,6995,3,0.242,4372,2,0.123,9368,3,24.36,11154,4,0.509,8998,3,0.394,10548,4,30.69,6478,2,31.602,7934,3,0.29,4832,2,0.507,594,1,0.143,13802,5,0.371,8925,3,-1.333,31608,10,4.293,1967,1,0.081,15192,5,1.392,2018,1,1862,471,1238,153,1205
"E01004261","Tower Hamlets 010A",167241.5392525,2789.29214339661,10280,4,25.849,10280,4,0.15,10457,4,0.056,22825,7,28.759,9078,3,0.319,11369,4,0.115,14896,5,34.756,4193,2,46.926,2465,1,0.324,3452,2,0.545,382,1,-0.137,18375,6,0.442,4400,2,-0.542,24686,8,4.468,1717,1,0.836,5306,2,1.39,2031,1,2532,358,2021,153,1994.75
"E01004262","Tower Hamlets 010B",146080.440856,2975.94268800575,8367,3,29.288,8367,3,0.167,9061,3,0.088,14698,5,21.587,12810,4,0.616,7752,3,0.886,4526,2,28.82,7791,3,41.661,3755,2,0.228,8251,3,0.489,723,1,-0.013,16323,5,0.362,9684,3,-0.893,28886,9,3.901,2652,1,0.127,14491,5,2.086,293,1,1666,242,1257,167,1262.75
"E01004263","Tower Hamlets 007C",82486.5625455,1182.34363624997,6689,3,32.958,6689,3,0.221,5458,2,0.138,7706,3,32.123,7768,3,0.433,9901,4,0.667,6883,3,26.509,9704,3,31.506,7988,3,0.272,5747,2,0.338,3362,2,-0.138,18397,6,0.47,3171,1,-1.324,31569,10,3.71,3022,1,-0.046,17175,6,1.529,1522,1,1514,335,949,230,938.25
"E01004264","Tower Hamlets 010C",61534.7933965,1472.56071704619,6140,2,34.313,6140,2,0.243,4368,2,0.129,8642,3,24.996,10828,4,0.614,7769,3,0.344,11260,4,38.478,2665,1,28.348,9756,3,0.25,6927,3,0.549,367,1,-0.84,28003,9,0.45,4001,2,-1.333,31610,10,5.214,788,1,-1.328,30915,10,1.941,500,1,1577,435,970,172,932
"E01004266","Tower Hamlets 007D",82210.13811,1614.95068866749,9652,3,26.897,9652,3,0.195,6969,3,0.098,12940,4,15.197,17208,6,0.124,14124,5,0.813,5277,2,26.632,9611,3,35.589,5976,2,0.296,4567,2,0.299,4719,2,-0.062,17102,6,0.296,16416,5,-1.238,31209,10,3.71,3024,1,-0.05,17255,6,1.825,706,1,1539,296,1026,217,1024.25
