"lsoa11cd","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01032778","Tower Hamlets 028G",306326.750894,4149.55157682028,16614,6,17.421,16614,6,0.057,24431,8,0.03,30655,10,10.553,21307,7,-0.289,20479,7,0.395,10526,4,34.053,4550,2,54.269,1275,1,0.162,12928,4,0.102,19788,7,0.185,13128,4,0.098,32193,10,0.004,15599,5,3.62,3146,1,0.671,7082,3,2.267,121,1,1135,159,918,58,944.25
"E01032779","Tower Hamlets 028H",28286.049286,1005.93199253476,16738,6,17.288,16738,6,0.085,18664,6,0.042,27433,9,11.677,20253,7,-0.284,20410,7,-0.926,28494,9,33.827,4664,2,53.514,1361,1,0.198,10175,4,0.128,16408,5,0.252,12121,4,0.126,31528,10,0.023,15289,5,3.553,3289,2,0.9,4710,2,1.761,868,1,1614,281,1287,46,1269.25
"E01032780","Tower Hamlets 028I",352538.731612,3498.81767534521,17778,6,16.174,17778,6,0.068,22013,7,0.023,31959,10,3.267,29420,9,-0.375,21797,7,-0.142,18773,6,30.691,6476,2,63.287,412,1,0.185,11116,4,0.223,8460,3,-0.552,24630,8,0.044,32828,10,0.101,13911,5,2.765,4924,2,1.205,2418,1,1.811,752,1,1675,206,1399,70,1375.5
"E01032781","Tower Hamlets 033C",54367.9322885,1947.745785845,21416,7,12.666,21416,7,0.103,15950,5,0.049,25130,8,3.319,29362,9,-0.206,19222,6,-0.594,25023,8,24.832,11289,4,30.821,8355,3,0.232,7922,3,0.298,4771,2,-0.587,25070,8,0.102,32106,10,-1.229,31171,10,3.372,3614,2,0.04,15804,5,1.38,2080,1,1785,288,1393,104,1378
"E01032782","Tower Hamlets 033D",75507.7393085,1821.88813651199,14749,5,19.565,14749,5,0.099,16390,5,0.048,25283,8,13.709,18407,6,-0.173,18715,6,-0.553,24499,8,43.595,1303,1,40.599,4073,2,0.293,4717,2,0.223,8460,3,0.228,12472,4,0.215,25625,8,-0.894,28894,9,5.784,423,1,0.644,7405,3,1.274,2580,1,2436,320,2046,70,2013.5
"E01032783","Tower Hamlets 031G",82073.4304105,2177.23247339633,16421,5,17.654,16421,5,0.148,10649,4,0.068,19180,6,8.355,23572,8,0.042,15361,5,-0.035,17212,6,26.271,9917,4,24.037,12385,4,0.262,6214,2,0.556,334,1,-0.079,17400,6,0.169,29601,10,-1.131,30679,10,3.599,3195,1,0.109,14767,5,0.698,6508,2,1498,184,1175,139,1184.75
"E01032784","Tower Hamlets 004G",64525.70296,1808.75812077498,12196,4,22.78,12196,4,0.129,12658,4,0.057,22534,7,6.692,25386,8,0.815,5757,2,0.627,7363,3,35.167,4009,2,28.936,9415,3,0.245,7183,3,0.526,489,1,-0.275,20591,7,0.177,29006,9,-0.839,28366,9,4.702,1377,1,0.141,14261,5,1.101,3489,2,1790,280,1412,98,1435.5
"E01032785","Tower Hamlets 010E",72773.1117015,1320.36981673065,13712,5,20.779,13712,5,0.156,9910,4,0.071,18462,6,4.783,27568,9,-0.231,19599,6,-0.474,23414,8,31.038,6251,2,49.045,2065,1,0.265,6106,2,0.307,4415,2,-0.421,22768,7,0.14,31059,10,-0.643,26121,8,4.047,2376,1,1.057,3429,2,1.065,3694,2,2153,564,1511,78,1515.25
"E01032786","Tower Hamlets 010F",55613.2619,1276.63116846427,9758,3,26.705,9758,3,0.198,6766,3,0.132,8275,3,15.966,16614,6,0.264,12129,4,0.152,14275,5,27.553,8794,3,25.914,11212,4,0.237,7653,3,0.3,4704,2,-0.111,17922,6,0.312,14623,5,-1.271,31362,10,3.855,2743,1,-0.853,27795,9,1.653,1145,1,1589,442,1007,140,993.25
"E01032787","Tower Hamlets 011F",107003.438587,1934.47012727913,6192,2,34.191,6192,2,0.264,3443,2,0.136,7888,3,27.342,9671,3,0.01,15846,5,0.931,4120,2,31.894,5724,2,24.545,12058,4,0.303,4261,2,0.535,432,1,-0.136,18359,6,0.429,5038,2,-1.389,31815,10,4.468,1715,1,-0.985,28940,9,1.601,1309,1,2482,646,1609,227,1593.75
