Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
56,Bow Common Lane/St Paul's Way,537248,181820,Kerbside,43.1,35,32.9,29.2,33,25.4,28.3,23.1,37.2,31.3,40.8,31.9
57,Augusta St/Giraud St,537516,181392,Kerbside,40.2,31.7,32.1,26.5,22.7,20,19.2,17.7,32.8,28.6,34.2,33.9
58,Dolphin Lane,537539,180688,Kerbside,38.2,29.8,32.7,24.4,27.2,19.1,21,17.5,32.1,29.8,35.7,26.7
59,Westferry Road/Limehouse Link jnct,537100,180791,Kerbside,43.9,33.9,36.8,36.1,35.9,33.3,29.6,14.7,41.5,37.4,40.2,40
60,"Cascades, Westferry Road",537115,180074,Kerbside,43.3,47.9,43.5,36.9,33.4,30.6,40,28.7,46,46.3,51,48.2
61,Bow Rd/Alfred St,537056,182773,Kerbside,42.6,32.5,38.6,31.4,29.4,21.3,26.5,10.7,36.3,37,43.1,41.3
62,Mast House Terrace,537348,178690,Kerbside,48.2,28.8,35.1,33.6,30.2,25.1,28.4,20.8,38.2,39,44.5,35.2
63,Millwall Park,538246,178689,Urban background,36.9,24.4,missing,23.4,21.7,13.4,18,missing,24.1,28,35.3,35.4
64,Limeharbour,537953,179357,Kerbside,59,50.4,51.7,39.2,37.1,31.7,41.9,33.1,54.3,36.3,55.2,71.4
65,Manchester Road/East Ferry Road,538032,178360,Kerbside,39.2,31.3,30.1,30.3,24.4,21.7,27.5,17.1,37,31.9,34.9,33.1
66,Millwall Park,538258,178689,Urban background,35.9,27,missing,21.4,21.7,9.7 nul,15.8,13.4,25.2,25.4,34.1,30.9
67,Seyssel Street,538544,178767,Kerbside,44.4,35,37.3,32.8,18 nul,24.4,28.1,21.4,40.7,31.3,40.9,36.1
68,Manchester Road/Ollife Street ,538431,179044,Kerbside,46.3,31,36.3,32.1,31.7,25.7,31.7,21,43.3,36,42.7,37.1
69,Lawnhouse Close ,538190,179750,Kerbside,47.3,35.7,36.5,29.6,23.7,22.1,25.3,22.7,38.3,35.3,41.9,39.4
70,Admirals Way,537424,179910,Kerbside,36.3,29.6,31.5,24.8,23.2,16.8,missing,16.5,30.8,31.4,35.7,38.3
71,Toynbee St/Commercial St,533689,181705,Roadside,52.9,44.2,49.6,42.1,21.1,34.9,37.4,27.8,45.4,49.7,55.4,47.3
72,Prestons Road/ Coldharbour,538364,180188,Kerbside,43.1,42.3,42.6,41.5,33.9,35.7,34.5,32.3,47.7,38.6,47.9,40.1
73,John Smith Mews,538742,180756,Kerbside,42.6,33.4,36.1,31.8,27.9,27.6,27,26.8,34.7,35.4,39.4,38
74,Poplar High St/Cotton St,538244,180761,Kerbside,80.2,79.1,78.3,72.3,80.4,47,78.8,60.6,91.3,76.1,73.8,26.7
75,Hale Street,537661,180768,Kerbside,38.6,31.7,29.1,22.9,25.2,20.7,26.3,15.2 nul,33.7,32.9,36.6,33.1
76,Chrisp Street/E India Dock Road ,537940,181021,Kerbside,51.8,49.4,42.4,41.1,47,31.2,32.6,27.1,52.9,46.6,48.9,43
77,Morris/Barchester Street,537731,181761,Kerbside,41.9,33,32.8,28.7,22.2,17.2,23.7,16.8,31.8,29.8,34.7,33.8
78,Devons Road / Campbell Road ,537577,182232,Kerbside,43.3,31.5,42.3,39.4,39.7,34.7,38.4,32.4,49.3,41.3,48.6,40.6
79,Hatfield Terrace/Fairfield Road,537355,183059,Kerbside,40,41.6,34.1,32.1,30.5,25.4,27.3,20.2,33.7,32.6,33.6,31.1
80,Wrexham Road,537581,183209,Kerbside,43.8,44,41.4,43.3,34.4,34.5,32.7,missing,40,33.8,33.6,35.9
81,Bromley High Street/ St Leonards,537868,182912,Kerbside,46.5,42.9,38,36.3,38.5,30.6,33.1,31.6,45.4,43.7,46.2,missing
82,Devas Street /Devons road,537821,182332,Kerbside,56.2,42.5,43.9,42.7,35.4,29.9,32.9,32.3,47.2,37.9,51.8,45.5
83,Zetland Street/A12,538178,181747,Kerbside,60.1,58.7,58.2,64.8,60.8,56.4,56.6,47.8,58.1,53.7,51.9,38.4
84,Blair Street (End of Street),538365,181180,Roadside,50.2,41.2,46.8,33.6,41.3,32.3,34.6,28.6,44.2,47.8,45,47.6
85,Portree Street,538895,181296,Kerbside,55.4,50.5,48.3,38.9,36.5,32.7,38.4,30.1,50.7,48.5,39.9,46
86,Newport Avenue,538954,180872,Kerbside,36.4,35.6,33.8,31.2,28,24.3,24.6,23.5,34.1,missing ,40.4,35.2
87,Mile End Road Corner Bancroft Rd,535929,182220,Kerbside,45.2,34.9,42.7,41.7,32.9,34.7,missing,27.4,42.4,38.3,46.5,39.2
88,Shirbutt St o/s Holy Family School,537555,180892,Kerbside,33.9,31.7,29.4,26.5,26.9,18,missing,14.7,29.1,28.7,31.2,30.9
89,Thames Path Storers Quay,538730,178733,Roadside,33.5,28.8,26.7,31.2,12.9,18.5,22.7,16.3,38.5,31.2,36.1,33.8
90,Sextant Avenue,538674,178888,Kerbside,34.7,29.8,28.4,29.5,9.3 nul,16.3,21.1,14.6,31.1,26.3,31.2,29.7
91,At the entrance of MOT station,539007,181146,Kerbside,N/A,N/A,N/A,N/A,N/A,N/A,26.6,27.4,37,39.3,48,missing
92,At the exit of MOT station,538907,181127,Roadside,N/A,N/A,N/A,N/A,N/A,N/A,39.2,39.5,50.6,47.6,56.3,missing
