,,,,,,,,,,,,,,,,,,,,,,,,,
12,Buckfast St/Bethnal Green Rd,534259.0,182580.0,Kerbside,100,37.3,24.1,26.1,30.4,26.1,22.9,25.1,20.7,32.3,32.7,35,34.2,28.91,22.55,,,,,,
13,Squirries St/Gosset St,534313.0,182810.0,Kerbside,100,41.1,34.1,30.3,34.2,29,24.8,28.3,23.2,36.2,36.3,37.2,36.6,32.61,25.43,,,,,,
14,Warner Place/Hackney Rd,534255.0,183130.0,Kerbside,100,30.8,28.2,32.3,30.0,25.3,22.6,27.7,16.4,33.0,30.1,34.5,35.9,28.90,22.54,,,,,,
15,Parmiter St/ Cambridge Heath Road,534881.0,183240.0,Kerbside,100,50.1,30.4,37.9,38.1,30.9,31.3,30.6,26.3,38.6,38.2,45.4,41.1,36.58,28.53,,,,,,
16,Paradise Row/Bethnal Green Rd,534959.0,182757.0,Kerbside,92,40.8,40.9,37.7,36.0,34.6,missing,31.1,16.8,39.4,40.5,37,41.1,35.99,28.07,,,,,,
17,Finnis St/Three Colts Lane,534783.0,182385.0,Kerbside,83,36.4,26.3,28.5,27.4,23.7,17.4,21.5,16.4,29.4,mising ,missing,31.5,25.85,20.16,,,,,,
18,Sidney St/Mile End Rd,534968.0,181878.0,Roadside,100,47.3,34.2,32.3,33.7,32.1,27.9,30.1,28,39.0,38.8,43.4,42.8,35.80,27.92,,,,,,
19,Philpot St/Commercial Road,534816.0,181321.0,Kerbside,83,51.2,42.5,39.3,35.4,33.1,28.1,31,27.2,46.5,44.3,missing,missing,37.86,29.53,,,,,,
20,Dellow St/The Highway,534951.0,180779.0,Roadside,100,53.0,43.6,40.6,41.3,49,34.4,53.5,35.8,59.4,56.4,55.3,54.6,48.08,37.50,,,,,,
21,Queensbridge Rd/Hackney Rd,533985.0,183122.0,Kerbside,100,43.0,33.2,32.9,33.1,29.9,25.6,27.1,19.9,32.2,32.1,33.8,32.7,31.29,24.41,,,,,,
22,Wapping Wall/Garnet St,535133.0,180376.0,Kerbside,100,41.0,33.2,30.2,33.2,26.7,21.8,26.5,20.9,36.5,36.8,40.1,30.8,31.48,24.55,,,,,,
23,Brodlove Lane,535598.0,180816.0,Kerbside,100,45.0,35.7,31.1,32.9,34,29.1,44,27.9,44.7,41.7,45.2,39.8,37.59,29.32,,,,,,
24,Jubilee Street/Commercial Rd,535174.0,181290.0,Kerbside,100,52.6,46.3,45.9,48.7,43,45.1,45.5,38.6,52.9,49.7,52.8,49.4,47.54,37.08,,,,,,
25,Cavell St/Stepney Way,534884.0,181667.0,Kerbside,92,40.3,34.9,37.2,31.9,27.2,25.8,27.3,20.7,missing,40.4,41.2,43.8,33.70,26.29,,,,,,
26,Hannibal Rd/Mile End Rd,535386.0,182021.0,Kerbside,92,44.3,35.3,34.6,33.4,33.6,29.2,26.9,27.7,33.4,missing ,43,39.7,34.65,27.02,,,,,,
27,Roman Rd/Globe Road,535296.0,182793.0,Kerbside,83,44.1,36.6,34.5,32.1,26.5,20.8,41.7,missing,missing,33.3,40.3,34.0,34.39,26.82,,,,,,
28,Bonner Road,535356.0,183223.0,Kerbside,83,missing,missing ,42.7,38.5,36.2,42.3,34.7,30,43.8,46.8,51,45.9,41.19,32.13,,,,,,
29,Grove Rd/Old Ford Rd,535930.0,183385.0,Kerbside,100,33.6,38.5,35.4,33.6,33,28.8,26.6,26.9,37.4,39.7,40.9,38.4,34.40,26.83,,,,,,
30,Fieldgate Street,534239.0,181565.0,Kerbside,100,43.1,37.9,35.2,37.6,35.8,26.1,33.3,21.8,42.6,40.1,37.9,41.9,36.11,28.16,,,,,,
31,Whitechapel Market,534516.0,181744.0,Roadside,100,56.8,47.7,51.4,49.0,49.3,47.4,48,46.6,57.6,57.4,57.2,53.9,51.86,40.45,,,,,,
32,Globe Rd/Mile End Rd,535634.0,182148.0,Kerbside,100,44.5,38.1,41.5,39.4,38.2,31.8,34.7,29.9,44.6,37.6,46.2,39.4,38.83,30.28,,,,,,
33,Stepney Green,535545.0,181604.0,Urban background,92,41.6,missing,27.2,25.7,20.9,19.0,19.9,16.3,31.0,29.5,37.2,31.0,27.21,21.22,,,,,,
34,Pitsea St/Commercial Rd,535797.0,181164.0,Kerbside,100,46.7,33.1,35.8,36.8,26.6,22.9,27.5,21.4,38.2,32,39.4,37.2,33.13,25.84,,,,,,
35,Narrow St/Limehouse Link,535977.0,180879.0,Roadside,100,75.2,71.5,88.6,71.9,80.3,85.3,77.6,73.9,89.8,69.1,74.8,72.7,77.56,60.50,,,,,,
36,Locksley St/St Paul's Way,536704.0,181647.0,Kerbside,75,43.5,31.1,26.2,33.9,missing,nul,28.2,missing,34.5,32.4,40,32.3,33.57,26.18,,,,,,
37,Rhodeswell Rd,536577.0,181379.0,Kerbside,83,38.4,28.8,missing,29.2,missing,22.7,27.5,22.4,39.9,34.1,37.3,37.4,31.77,24.78,,,,,,
38,Ben Johnson Road,536080.0,181721.0,Kerbside,100,45.5,37.5,34.7,40.0,31.9,26.0,31.5,27.6,42.1,36.3,43.2,41.3,36.47,28.44,,,,,,
39,Harford St/Mile End Rd,536089.0,182258.0,Roadside,100,42.3,38.7,36.5,38.1,32.3,29.9,33.2,26,41.3,34.5,39.8,39.5,36.01,28.09,,,,,,
40,Thoydon Rd,536105.0,183049.0,Kerbside,100,40.1,33.4,32.2,28.9,27.6,26.3,25.4,18.8,32.4,34.7,38.5,34.9,31.10,24.26,,,,,,
41,Ford Close/Roman Rd,536457.0,183301.0,Roadside,92,45.0,36.8,36.0,43.4,28.7,31.7,30.5,missing,39.0,38.6,40.4,37.2,37.03,28.88,,,,,,
42,Victoria Park (Co-location site),536494.0,184170.0,Urban background,100,30.2,10.6,20.0,20.7,16.4,13.5,15.1,12.5,21.8,22.7,21.9,23.9,19.11,14.90,,,,,,
43,Victoria Park (Co-location site),536494.0,184170.0,Urban background,100,30.7,21.0,22.4,18.0,16,10.5,14.6,12,22.2,20.6,25,24.4,19.78,15.43,,,,,,
44,Parnell Rd/Old Ford Rd,536875.0,183740.0,Kerbside,100,46.6,34.8,41.6,31.0,31.3,28.6,30.4,27.1,36.5,39.6,44.5,36.9,35.74,27.88,,,,,,
45,St Stephen's Rd/Tredegar Rd,536713.0,183070.0,Kerbside,100,36.6,41.9,39.9,39.7,34.6,30.1,31,24.8,41.9,42.3,46.9,41.9,37.63,29.35,,,,,,
46,Rhondda Grove/Mile End Rd,536542.0,182589.0,Kerbside,83,38.0,missing,36.2,missing,28.9,22.7,27,17.5,35.0,36.3,31.5,36.4,30.95,24.14,,,,,,
47,Wentworth Mews,536452.0,182454.0,Kerbside,100,48.3,45.7,47.5,41.9,35.4,30.3,36.6,32.3,49.4,43.1,45.4,42.2,41.51,32.38,,,,,,
48,Ackroyd Drive,536768.0,181772.0,Kerbside,100,48.7,36.4,38.9,30.9,36.2,30.8,32.8,25.5,45.1,44.3,49.1,43.6,38.53,30.05,,,,,,
49,Dod St/Burdett Rd,537049.0,181292.0,Kerbside,75,40.6,35.4,31.2,29.3,28.2,19.7,24.9,14.1,30.7,missing ,missing,missing,28.23,22.02,,,,,,
50,Rich Street,536937.0,180987.0,Roadside,100,46.6,36.5,39.5,38.8,39.1,25.7,33.3,29.1,41.1,37.2,46.6,39.7,37.77,29.46,,,,,,
51,Watney Market,534938.0,181257.0,Roadside,67,missing,29.6,16.5,missing,missing,21.9,22.9,20.1,32.5,30.8,37.4,missing,26.46,23.74,annualised,,,,,
52,Wick Lane/Autumn St,537304.0,183619.0,Kerbside,100,48.0,44.2,40.7,38.8,36.2,27.7,33.3,24.9,44.5,43.2,39.9,40.2,38.47,30.00,,,,,,
53,Fairfield Road/Tredegar Road ,537159.0,183415.0,Kerbside,100,54.7,47.1,48.0,48.9,47.1,38.4,37.2,36.7,54.9,39.9,43.8,48.2,45.41,35.42,,,,,,
54,Bow Rd /Glebe Terrace,537525.0,182887.0,Kerbside,100,48.5,47.0,42.7,51.9,55.8,37.5,50,33.8,63.0,53.4,53.2,52.8,49.13,38.32,,,,,,
55,TH Cemetery Park,536732.0,182361.0,Roadside,100,31.2,25.5,24.5,21.1,17.1,15.0,13.2,13.1,22.3,22.5,27.9,25.0,21.53,16.80,,,,,,
56,Bow Common Lane/St Paul's Way,537248.0,181820.0,Kerbside,100,43.1,35.0,32.9,29.2,33,25.4,28.3,23.1,37.2,31.3,40.8,31.9,32.60,25.43,,,,,,
57,Augusta St/Giraud St,537516.0,181392.0,Kerbside,100,40.2,31.7,32.1,26.5,22.7,20.0,19.2,17.7,32.8,28.6,34.2,33.9,28.30,22.07,,,,,,
58,Dolphin Lane,537539.0,180688.0,Kerbside,100,38.2,29.8,32.7,24.4,27.2,19.1,21,17.5,32.1,29.8,35.7,26.7,27.85,21.72,,,,,,
59,Westferry Road/Limehouse Link jnct,537100.0,180791.0,Kerbside,100,43.9,33.9,36.8,36.1,35.9,33.3,29.6,14.7,41.5,37.4,40.2,40.0,35.28,27.51,,,,,,
60,"Cascades, Westferry Road",537115.0,180074.0,Kerbside,100,43.3,47.9,43.5,36.9,33.4,30.6,40,28.7,46.0,46.3,51,48.2,41.32,32.23,,,,,,
61,Bow Rd/Alfred St,537056.0,182773.0,Kerbside,100,42.6,32.5,38.6,31.4,29.4,21.3,26.5,10.7,36.3,37,43.1,41.3,32.56,25.40,,,,,,
62,Mast House Terrace,537348.0,178690.0,Kerbside,100,48.2,28.8,35.1,33.6,30.2,25.1,28.4,20.8,38.2,39,44.5,35.2,33.93,26.46,,,,,,
63,Millwall Park,538246.0,178689.0,Urban background,83,36.9,24.4,missing,23.4,21.7,13.4,18,missing,24.1,28,35.3,35.4,26.06,20.33,,,,,,
64,Limeharbour,537953.0,179357.0,Kerbside,100,59.0,50.4,51.7,39.2,37.1,31.7,41.9,33.1,54.3,36.3,55.2,71.4,46.78,36.48,,,,,,
65,Manchester Road/East Ferry Road,538032.0,178360.0,Kerbside,100,39.2,31.3,30.1,30.3,24.4,21.7,27.5,17.1,37.0,31.9,34.9,33.1,29.88,23.30,,,,,,
66,Millwall Park,538258.0,178689.0,Urban background,83,35.9,27.0,missing,21.4,21.7,nul,15.8,13.4,25.2,25.4,34.1,30.9,25.08,19.56,,,,,,
67,Seyssel Street,538544.0,178767.0,Kerbside,92,44.4,35.0,37.3,32.8,nul,24.4,28.1,21.4,40.7,31.3,40.9,36.1,33.85,26.41,,,,,,
68,Manchester Road/Ollife Street ,538431.0,179044.0,Kerbside,100,46.3,31.0,36.3,32.1,31.7,25.7,31.7,21,43.3,36,42.7,37.1,34.58,26.97,,,,,,
69,Lawnhouse Close ,538190.0,179750.0,Kerbside,100,47.3,35.7,36.5,29.6,23.7,22.1,25.3,22.7,38.3,35.3,41.9,39.4,33.15,25.86,,,,,,
70,Admirals Way,537424.0,179910.0,Kerbside,92,36.3,29.6,31.5,24.8,23.2,16.8,missing,16.5,30.8,31.4,35.7,38.3,28.63,22.33,,,,,,
71,Toynbee St/Commercial St,533689.0,181705.0,Roadside,100,52.9,44.2,49.6,42.1,21.1,34.9,37.4,27.8,45.4,49.7,55.4,47.3,42.32,33.01,,,,,,
72,Prestons Road/ Coldharbour,538364.0,180188.0,Kerbside,100,43.1,42.3,42.6,41.5,33.9,35.7,34.5,32.3,47.7,38.6,47.9,40.1,40.02,31.21,,,,,,
73,John Smith Mews,538742.0,180756.0,Kerbside,100,42.6,33.4,36.1,31.8,27.9,27.6,27,26.8,34.7,35.4,39.4,38.0,33.39,26.05,,,,,,
74,Poplar High St/Cotton St,538244.0,180761.0,Kerbside,100,80.2,79.1,78.3,72.3,80.4,47.0,78.8,60.6,91.3,76.1,73.8,26.7,70.38,54.90,,,,,,
75,Hale Street,537661.0,180768.0,Kerbside,92,38.6,31.7,29.1,22.9,25.2,20.7,26.3,nul,33.7,32.9,36.6,33.1,30.07,23.46,,,,,,
76,Chrisp Street/E India Dock Road ,537940.0,181021.0,Kerbside,100,51.8,49.4,42.4,41.1,47,31.2,32.6,27.1,52.9,46.6,48.9,43.0,42.83,33.41,,,,,,
77,Morris/Barchester Street,537731.0,181761.0,Kerbside,100,41.9,33.0,32.8,28.7,22.2,17.2,23.7,16.8,31.8,29.8,34.7,33.8,28.87,22.52,,,,,,
78,Devons Road / Campbell Road ,537577.0,182232.0,Kerbside,100,43.3,31.5,42.3,39.4,39.7,34.7,38.4,32.4,49.3,41.3,48.6,40.6,40.13,31.30,,,,,,
79,Hatfield Terrace/Fairfield Road,537355.0,183059.0,Kerbside,100,40.0,41.6,34.1,32.1,30.5,25.4,27.3,20.2,33.7,32.6,33.6,31.1,31.85,24.84,,,,,,
80,Wrexham Road,537581.0,183209.0,Kerbside,92,43.8,44.0,41.4,43.3,34.4,34.5,32.7,missing,40.0,33.8,33.6,35.9,37.95,29.60,,,,,,
81,Bromley High Street/ St Leonards,537868.0,182912.0,Kerbside,92,46.5,42.9,38.0,36.3,38.5,30.6,33.1,31.6,45.4,43.7,46.2,missing,39.35,30.69,,,,,,
82,Devas Street /Devons road,537821.0,182332.0,Kerbside,100,56.2,42.5,43.9,42.7,35.4,29.9,32.9,32.3,47.2,37.9,51.8,45.5,41.52,32.38,,,,,,
83,Zetland Street/A12,538178.0,181747.0,Kerbside,100,60.1,58.7,58.2,64.8,60.8,56.4,56.6,47.8,58.1,53.7,51.9,38.4,55.46,43.26,,,,,,
84,Blair Street (End of Street),538365.0,181180.0,Roadside,100,50.2,41.2,46.8,33.6,41.3,32.3,34.6,28.6,44.2,47.8,45,47.6,41.10,32.06,,,,,,
85,Portree Street,538895.0,181296.0,Kerbside,100,55.4,50.5,48.3,38.9,36.5,32.7,38.4,30.1,50.7,48.5,39.9,46.0,42.99,33.53,,,,,,
86,Newport Avenue,538954.0,180872.0,Kerbside,92,36.4,35.6,33.8,31.2,28,24.3,24.6,23.5,34.1,missing ,40.4,35.2,31.55,24.61,,,,,,
87,Mile End Road Corner Bancroft Rd,535929.0,182220.0,Kerbside,92,45.2,34.9,42.7,41.7,32.9,34.7,missing,27.4,42.4,38.3,46.5,39.2,38.72,30.20,,,,,,
88,Shirbutt St o/s Holy Family School,537555.0,180892.0,Kerbside,92,33.9,31.7,29.4,26.5,26.9,18.0,missing,14.7,29.1,28.7,31.2,30.9,27.36,21.34,,,,,,
89,Thames Path Storers Quay,538730.0,178733.0,Roadside,100,33.5,28.8,26.7,31.2,12.9,18.5,22.7,16.3,38.5,31.2,36.1,33.8,27.52,21.46,,,,,,
90,Sextant Avenue,538674.0,178888.0,Kerbside,92,34.7,29.8,28.4,29.5,nul,16.3,21.1,14.6,31.1,26.3,31.2,29.7,26.61,20.76,,,,,,
91,At the entrance of MOT station,539007.0,181146.0,Kerbside,42,N/A,N/A,N/A,N/A,N/A,N/A,26.6,27.4,37.0,39.3,48,missing,35.66,31.01,annualised,,,,,
92,At the exit of MOT station,538907.0,181127.0,Roadside,42,N/A,N/A,N/A,N/A,N/A,N/A,39.2,39.5,50.6,47.6,56.3,missing,46.64,39.32,annualised,,,,,
