month,location,grid_squaresX,grid_squaresY,aq,utctimestamp,period,test_period
Jun-15,Buckfast St/Bethnal Green Rd,534259,182580,38.0,2015-06-01,before,
Jun-15,Portree Street,538895,181296,35.0,2015-06-01,before,
Jun-15,Paradise Row/Bethnal Green Rd,534959,182757,43.1,2015-06-01,before,
Jun-15,Commercial St/Calvin St,533583,182066,63.5,2015-06-01,before,
Jun-15,Hale Street,537661,180768,,2015-06-01,before,
Jun-15,Wapping High St/Sampson St,534444,180122,27.7,2015-06-01,before,
Jun-15,Mansell St,533801,180726,77.0,2015-06-01,before,
Jun-15,Chrisp Street/E India Dock Road ,537940,181021,37.4,2015-06-01,before,
Jun-15,Blair Street (End of Street),538366,181180,37.8,2015-06-01,before,
Jun-15,Whitechapel High St (KFC),533985,181426,63.4,2015-06-01,before,
Jun-15,Morris/Barchester Street,537731,181761,25.0,2015-06-01,before,
Jun-15,Warner Place/Hackney Rd,534255,183130,36.0,2015-06-01,before,
Jun-15,Finnis St/Three Colts Lane,534783,182385,24.9,2015-06-01,before,
Jun-15,Bethnal Green Rd/ Brick Lane,533860,182442,44.2,2015-06-01,before,
Jun-15,Devons Road / Campbell Road ,537577,182232,38.9,2015-06-01,before,
Jun-15,Brick Lane/Princelet St,533866,181860,33.6,2015-06-01,before,
Jun-15,Manchester Road/Ollife Street ,538432,179044,27.7,2015-06-01,before,
Jun-15,Colombia Rd/Gossett Street,533883,182815,,2015-06-01,before,
Jun-15,Philpot St/Commercial Road,534816,181321,35.5,2015-06-01,before,
Jun-15,Hatfield Terrace/Fairfield Road,537356,183059,25.5,2015-06-01,before,
Jun-15,Sextant Avenue,538674,178887,,2015-06-01,before,
Jun-15,Lawnhouse Close ,538191,179750,32.2,2015-06-01,before,
Jun-15,Bromley High Street/ St leonards,537868,182912,26.4,2015-06-01,before,
Jun-15,Sidney St/Mile End Rd,534968,181878,33.8,2015-06-01,before,
Jun-15,Zetland Street/A12,538178,181747,60.2,2015-06-01,before,
Jun-15,Calvert Ave/Boundary Street,533507,182569,31.4,2015-06-01,before,
Jun-15,St Katherine's Way,533984,180373,27.6,2015-06-01,before,
Jun-15,Prestons Road/ Coldharbour,538364,180188,34.1,2015-06-01,before,
Jun-15,Thames Path Storers Quay,538730,178733,,2015-06-01,before,
Jul-15,Wick Lane/Autumn St,537304,183619,45.5,2015-07-01,before,
Jul-15,Bromley High Street/ St leonards,537868,182912,28.0,2015-07-01,before,
Jul-15,St Katherine's Way,533984,180373,25.3,2015-07-01,before,
Jul-15,Mansell St,533801,180726,74.4,2015-07-01,before,
Jul-15,Bow Rd /Glebe Terrace,537525,182887,63.0,2015-07-01,before,
Jul-15,Stepney Green,535545,181604,,2015-07-01,before,
Jul-15,Whitechapel Market,534516,181744,49.0,2015-07-01,before,
Jul-15,Wrexham Road,537581,183208,32.2,2015-07-01,before,
Jul-15,Watney Market,534938,181257,31.4,2015-07-01,before,
Jul-15,Fairfield Road/Tredegar Road ,537159,183415,53.8,2015-07-01,before,
Jul-15,Devas Street /Devons road,537821,182332,38.9,2015-07-01,before,
Jul-15,Globe Rd/Mile End Rd,535295,182820,,2015-07-01,before,
Jul-15,Dod St/Burdett Rd,537026,181227,35.2,2015-07-01,before,
Jul-15,Locksley St/St Paul's Way,536702,181646,18.6,2015-07-01,before,
Jul-15,Victoria Park,536494,184170,,2015-07-01,before,
Jul-15,Colombia Rd/Gossett Street,533883,182815,30.1,2015-07-01,before,
Jul-15,Parnell Rd/Old Ford Rd,536874,183741,30.5,2015-07-01,before,
Jul-15,Victoria Park,536494,184170,14.9,2015-07-01,before,
Jul-15,Sextant Avenue,538674,178887,,2015-07-01,before,
Jul-15,St Stephen's Rd/Tredegar Rd,536713,183070,40.5,2015-07-01,before,
Jul-15,Ford Close/Roman Rd,536457,183301,30.7,2015-07-01,before,
Jul-15,Calvert Ave/Boundary Street,533507,182569,39.0,2015-07-01,before,
Jul-15,Thames Path Storers Quay,538730,178733,,2015-07-01,before,
Jul-15,Rhondda Grove/Mile End Rd,536542,182589,37.4,2015-07-01,before,
Jul-15,Zetland Street/A12,538178,181747,54.4,2015-07-01,before,
Jul-15,Harford St/Mile End Rd,536089,182258,30.7,2015-07-01,before,
Jul-15,Bethnal Green Rd/ Brick Lane,533860,182442,48.2,2015-07-01,before,
Jul-15,Wentworth Mews,536452,182454,45.0,2015-07-01,before,
Jul-15,Ackroyd Drive,536767,181771,40.7,2015-07-01,before,
Jul-15,Ben Johnson Road,536080,181721,32.4,2015-07-01,before,
Jul-15,Portree Street,538895,181296,41.8,2015-07-01,before,
Jul-15,Commercial St/Calvin St,533583,182066,51.0,2015-07-01,before,
Jul-15,Rhodeswell Rd,536574,181338,22.8,2015-07-01,before,
Jul-15,Blair Street (End of Street),538366,181180,,2015-07-01,before,
Jul-15,Rich Street,536937,180987,39.4,2015-07-01,before,
Jul-15,Whitechapel High St (KFC),533985,181426,75.1,2015-07-01,before,
Jul-15,Newport Avenue,538955,180872,28.0,2015-07-01,before,
Jul-15,TH Cemetery Park,536730,182363,24.3,2015-07-01,before,
Jul-15,Manchester Road/East Ferry Road,538033,178360,24.0,2015-07-01,before,
Jul-15,Wapping High St/Sampson St,534444,180122,28.7,2015-07-01,before,
Jul-15,Limeharbour,537953,179357,,2015-07-01,before,
Jul-15,"Cascades, Westferry Road",537115,180074,34.4,2015-07-01,before,
Jul-15,Sidney St/Mile End Rd,534968,181878,43.0,2015-07-01,before,
Jul-15,Hannibal Rd/Mile End Rd,535392,182010,69.3,2015-07-01,before,
Jul-15,Wapping Wall/Garnet St,535132,180337,26.9,2015-07-01,before,
Jul-15,Chrisp Street/E India Dock Road ,537940,181021,43.0,2015-07-01,before,
Jul-15,Warner Place/Hackney Rd,534255,183130,,2015-07-01,before,
Jul-15,Bow Rd/Alfred St,537056,182773,34.2,2015-07-01,before,
Jul-15,Prestons Road/ Coldharbour,538364,180188,36.7,2015-07-01,before,
Jul-15,Cavell St/Stepney Way,534884,181667,32.3,2015-07-01,before,
Jul-15,Hale Street,537661,180768,24.7,2015-07-01,before,
Jul-15,Mast House Terrace,537348,178690,26.1,2015-07-01,before,
Jul-15,Finnis St/Three Colts Lane,534783,182385,27.8,2015-07-01,before,
Jul-15,Paradise Row/Bethnal Green Rd,534959,182757,40.8,2015-07-01,before,
Jul-15,Jubilee Street/Commercial Rd,535150,181279,,2015-07-01,before,
Jul-15,Brodlove Lane,535598,180816,43.8,2015-07-01,before,
Jul-15,John Smith Mews,538742,180756,29.5,2015-07-01,before,
Jul-15,Lawnhouse Close ,538191,179750,,2015-07-01,before,
Jul-15,Morris/Barchester Street,537731,181761,29.6,2015-07-01,before,
Jul-15,Millwall Park,538259,178688,19.6,2015-07-01,before,
Jul-15,Grove Rd/Old Ford Rd,535930,183385,38.0,2015-07-01,before,
Jul-15,Brick Lane/Princelet St,533866,181860,35.4,2015-07-01,before,
Jul-15,Buckfast St/Bethnal Green Rd,534259,182580,34.8,2015-07-01,before,
Jul-15,Dellow St/The Highway,534951,180779,65.6,2015-07-01,before,
Jul-15,Bow Common Lane/St Paul's Way,537248,181820,30.8,2015-07-01,before,
Jul-15,Devons Road / Campbell Road ,537577,182232,41.4,2015-07-01,before,
Jul-15,Philpot St/Commercial Road,534816,181321,51.6,2015-07-01,before,
Jul-15,Manchester Road/Ollife Street ,538432,179044,26.7,2015-07-01,before,
Jul-15,Hatfield Terrace/Fairfield Road,537356,183059,17.2,2015-07-01,before,
Jul-15,Seyssel Street,538545,178767,25.4,2015-07-01,before,
Jul-15,Fieldgate Street,534232,181584,44.4,2015-07-01,before,
Jul-15,Millwall Park,538247,178689,,2015-07-01,before,
Jul-15,Westferry Road/Limehouse Link jnct,537100,180791,32.4,2015-07-01,before,
Jul-15,Bonner Road,535356,183223,35.8,2015-07-01,before,
Jul-15,Dolphin Lane,537539,180688,26.1,2015-07-01,before,
Aug-15,Prestons Road/ Coldharbour,538364,180188,42.7,2015-08-01,before,
Aug-15,Victoria Park,536494,184170,,2015-08-01,before,
Aug-15,Thames Path Storers Quay,538730,178733,,2015-08-01,before,
Aug-15,Rhondda Grove/Mile End Rd,536542,182589,30.7,2015-08-01,before,
Aug-15,Limeharbour,537953,179357,39.1,2015-08-01,before,
Aug-15,Manchester Road/Ollife Street ,538432,179044,,2015-08-01,before,
Aug-15,Lawnhouse Close ,538191,179750,28.5,2015-08-01,before,
Aug-15,Manchester Road/East Ferry Road,538033,178360,31.3,2015-08-01,before,
Aug-15,Sextant Avenue,538674,178887,,2015-08-01,before,
Aug-15,Millwall Park,538247,178689,24.3,2015-08-01,before,
Aug-15,Parnell Rd/Old Ford Rd,536874,183741,,2015-08-01,before,
Aug-15,Newport Avenue,538955,180872,23.7,2015-08-01,before,
Aug-15,St Stephen's Rd/Tredegar Rd,536713,183070,32.9,2015-08-01,before,
Aug-15,Dod St/Burdett Rd,537026,181227,29.0,2015-08-01,before,
Aug-15,Portree Street,538895,181296,44.8,2015-08-01,before,
Aug-15,Hatfield Terrace/Fairfield Road,537356,183059,,2015-08-01,before,
Aug-15,Wrexham Road,537581,183208,38.7,2015-08-01,before,
Aug-15,Bow Rd /Glebe Terrace,537525,182887,57.4,2015-08-01,before,
Aug-15,Bow Common Lane/St Paul's Way,537248,181820,32.5,2015-08-01,before,
Aug-15,Fairfield Road/Tredegar Road ,537159,183415,45.6,2015-08-01,before,
Aug-15,Devons Road / Campbell Road ,537577,182232,41.6,2015-08-01,before,
Aug-15,Dolphin Lane,537539,180688,30.5,2015-08-01,before,
Aug-15,Bromley High Street/ St leonards,537868,182912,27.3,2015-08-01,before,
Aug-15,Morris/Barchester Street,537731,181761,35.7,2015-08-01,before,
Aug-15,Wick Lane/Autumn St,537304,183619,35.6,2015-08-01,before,
