,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ford Close/Roman Rd,536457.0,183301.0,Roadside,100,40.0,43.5,29.5,40.8,33.6,25.9,21.1,27,36.7,37.6,27.6,32.3,32.97,25.38,,,,,,
42,Victoria Park (Co-location site),536494.0,184170.0,Urban background,75,28.6,26.3,missing,missing,11.8,12.6,12.2,15.9,20.1,nul (6.4),16,14.5,17.56,13.52,,,,,,
43,Victoria Park (Co-location site),536494.0,184170.0,Urban background,75,missing,29.3,missing,17.7,13.2,12.1,missing,16.7,20.9,26.1,23.2,15.6,19.42,14.96,,,,,,
44,Parnell Rd/Old Ford Rd,536875.0,183740.0,Kerbside,100,missing,47.5,32.9,35.9,24.6,25.1,25.7,30.9,39,43.3,39.9,36.2,34.64,26.67,,,,,,
45,St Stephen's Rd/Tredegar Rd,536713.0,183070.0,Kerbside,100,40.2,43.4,31.4,37.8,28.4,26.4,22.3,26,35.4,42.3,34.3,29.2,33.09,25.48,,,,,,
46,Rhondda Grove/Mile End Rd,536542.0,182589.0,Kerbside,92,42.8,30.8,28.7,30.4,20.4,20.6,19,19.9,missing,32.4,24.2,25.1,26.75,20.60,,,,,,
47,Wentworth Mews,536452.0,182454.0,Kerbside,75,missing,46.4,35.2,missing,missing,31.7,27,28.2,40.8,43.2,37.3,26.9,35.19,27.10,,,,,,
48,Ackroyd Drive,536768.0,181772.0,Kerbside,100,45.0,47.4,32.1,37,24.1,28.8,22.1,34.8,38.7,45.3,44.1,30.2,35.80,27.57,,,,,,
49,Dod St/Burdett Rd,537049.0,181292.0,Kerbside,100,32.6,34.6,25.9,27.5,17.6,19.4,18.2,20.1,26.6,32.6,33.7,24.4,26.10,20.10,,,,,,
50,Rich Street,536937.0,180987.0,Roadside,100,46.8,52.1,33.6,missing ,30.9,30.5,27.8,34.1,32,35.9,35.3,25.6,34.96,26.92,,,,,,
51,Watney Market,534938.0,181257.0,Roadside,92,37.1,34.4,28.4,29.5,19.6,24.6,22.6,24.7,30.7,missing,32.6,24.6,28.07,21.62,,,,,,
52,Wick Lane/Autumn St,537304.0,183619.0,Kerbside,75,missing,43.4,missing,36.1,28.1,27.4,missing,31.1,37.1,45,41.5,28.7,35.38,27.24,,,,,,
53,Fairfield Road/Tredegar Road ,537159.0,183415.0,Kerbside,100,42.8,53.6,38.1,48.4,38.7,32.4,31.5,36.3,42.6,49,34.7,38.2,40.53,31.20,,,,,,
54,Bow Rd /Glebe Terrace,537525.0,182887.0,Kerbside,100,53.1,70.3,54.1,62.3,47.8,47.4,40.4,45.9,66.7,68,48.1,40.5,53.72,41.36,,,,,,
55,TH Cemetery Park,536732.0,182361.0,Roadside,100,28.1,28.1,18.0,20.1,14.1,13.0,10.8,14.1,16.6,20.1,12.8,12.2,17.33,13.35,,,,,,
56,Bow Common Lane/St Paul's Way,537248.0,181820.0,Kerbside,100,37.3,48.3,29.9,54.6,23.3,23.2,25,25.1,33,38.6,29.1,24.3,32.64,25.13,,,,,,
57,Augusta St/Giraud St,537516.0,181392.0,Kerbside,92,missing,42.7,26.7,28.2,19.8,16.3,16.4,19.5,22.5,29.4,28.6,29.4,25.41,19.57,,,,,,
58,Dolphin Lane,537539.0,180688.0,Kerbside,100,33.1,36.5,26.7,26.7,17,17.9,19.2,22.8,28.1,27.7,34.1,20.6,25.87,19.92,,,,,,
59,Westferry Road/Limehouse Link jnct,537100.0,180791.0,Kerbside,100,43.2,50.1,31.3,35.4,23.9,26.2,24,27.4,32.5,34.7,36.2,25,32.49,25.02,,,,,,
60,"Cascades, Westferry Road",537115.0,180074.0,Kerbside,92,42.7,43.4,30.5,41.3,30.2,29.0,23.4,35.6,41.5,37.9,33.9,missing,35.40,27.26,,,,,,
61,Bow Rd/Alfred St,537056.0,182773.0,Kerbside,100,45.8,42.4,27.7,30.1,18.8,24.8,21.3,22.3,31.9,33.8,31.2,30.8,30.08,23.16,,,,,,
62,Mast House Terrace,537348.0,178690.0,Kerbside,83,41.2,41.8,26.9,35.1,24.8,missing,22.7,26.8,missing,36.1,26.6,28.8,31.08,23.93,,,,,,
63,Millwall Park,538246.0,178689.0,Urban background,58,30.9,missing,missing,missing ,missing,missing,15.4,18.8,21.7,22,24.3,14.4,21.07,16.30,annualised,,,,,
64,Limeharbour,537953.0,179357.0,Kerbside,100,44.5,51.7,34.3,40.9,33.6,35.9,30.9,35.5,47.8,45.2,40.6,32.2,39.43,30.36,,,,,,
65,Manchester Road/East Ferry Road,538032.0,178360.0,Kerbside,100,34.5,36.2,23.6,30.4,23.8,20.6,19.2,23,35.9,26.1,29.6,23.2,27.18,20.92,,,,,,
66,Millwall Park,538258.0,178689.0,Urban background,75,missing,29.3,16.8,21.7,missing,missing,14,18,24.8,21.7,26.1,20.4,21.42,16.50,,,,,,
67,Seyssel Street,538544.0,178767.0,Kerbside,100,40.3,41.3,27.2,31.3,26.6,27.0,20.6,26.4,29.7,33.9,29.9,27.3,30.13,23.20,,,,,,
68,Manchester Road/Ollife Street ,538431.0,179044.0,Kerbside,100,40.9,43.4,25.0,37.4,25.5,25.7,21.9,27.9,35.7,37.6,37,29.4,32.28,24.86,,,,,,
69,Lawnhouse Close ,538190.0,179750.0,Kerbside,100,41.2,39.3,21.5,33.2,23,26.1,21.1,28.3,37.1,37.4,30.7,29.9,30.73,23.66,,,,,,
70,Admirals Way,537424.0,179910.0,Kerbside,100,29.6,36.5,24.3,28.8,19,20.6,19.3,24.3,28.5,28.4,21.1,22.4,25.23,19.43,,,,,,
71,Toynbee St/Commercial St,533689.0,181705.0,Roadside,92,46.7,57.8,35.9,38.6,33.6,24.4,29.5,29.7,42.1,44.6,nul (7.7),38.1,38.27,29.47,,,,,,
72,Prestons Road/ Coldharbour,538364.0,180188.0,Kerbside,100,42.5,54.8,29.8,43.3,32,31.5,28.9,32,38.8,40.9,41,28.4,36.99,28.48,,,,,,
73,John Smith Mews,538742.0,180756.0,Kerbside,100,36.7,42.6,23.2,30.2,26.5,24.2,19.5,23.3,26.8,25.1,33.5,24.8,28.03,21.59,,,,,,
74,Poplar High St/Cotton St,538244.0,180761.0,Kerbside,100,61.4,79.5,60.4,66.5,55.7,55.7,64.7,65.7,81.3,78,60.6,56.2,65.48,50.42,,,,,,
75,Hale Street,537661.0,180768.0,Kerbside,92,30.6,40.9,25.2,27.6,19.5,20.0,16.8,20.7,26.4,30.9,missing,25.4,25.82,19.88,,,,,,
76,Chrisp Street/E India Dock Road ,537940.0,181021.0,Kerbside,100,44.1,50.4,33.8,41.8,30.1,32.7,29.3,36.3,41.3,47.2,66,36.4,40.78,31.40,,,,,,
77,Morris/Barchester Street,537731.0,181761.0,Kerbside,83,32.0,41.0,25.9,missing,20.5,19.1,19.4,20.5,27.5,32.5,33.7,missing,27.21,20.95,,,,,,
78,Devons Road / Campbell Road ,537577.0,182232.0,Kerbside,75,45.6,42.1,39.5,46.6,36.2,33.6,29.7,missing,missing,42.7,missing,23.2,37.69,29.02,,,,,,
79,Hatfield Terrace/Fairfield Road,537355.0,183059.0,Kerbside,100,31.0,25.5,25.8,32.9,25.5,20.3,16.2,18.8,29.4,27.6,31.3,22.5,25.57,19.69,,,,,,
80,Wrexham Road,537581.0,183209.0,Kerbside,100,39.8,45.0,32.7,38.9,33.4,24.4,19.2,25.6,32,34.2,35.8,26.7,32.31,24.88,,,,,,
81,Bromley High Street/ St Leonards,537868.0,182912.0,Kerbside,100,38.1,44.8,32.8,32.2,24.1,25.2,26.1,33.1,36.5,39.3,18,31.4,31.80,24.49,,,,,,
82,Devas Street /Devons road,537821.0,182332.0,Kerbside,100,39.3,55.4,32.5,45.4,43.6,32.9,22.7,29.5,34.2,36.7,40.4,30,36.88,28.40,,,,,,
83,Zetland Street/A12,538178.0,181747.0,Kerbside,100,48.6,61.6,48.2,62.2,43.6,50.1,40.9,49,61.3,51.6,55.8,52.8,52.14,40.15,,,,,,
84,Blair Street (End of Street),538365.0,181180.0,Roadside,92,45.5,31.0,41.8,35.1,22.6,25.3,36.8,34.7,41.8,missing,43.5,34.6,35.70,27.49,,,,,,
85,Portree Street,538895.0,181296.0,Kerbside,100,39.2,48.6,33.5,38.1,30.5,30.9,29.4,37.5,46.1,49,46,33.7,38.54,29.68,,,,,,
86,Newport Avenue,538954.0,180872.0,Kerbside,100,34.9,39.8,22.3,33.8,23.4,23.4,22,24.4,28.5,31,27.9,22,27.78,21.39,,,,,,
87,Mile End Road Corner Bancroft Rd,535929.0,182220.0,Kerbside,100,45.2,36.5,32.8,37.2,30.5,30.2,23.9,28.9,37.2,38.5,28.2,27.8,33.08,25.47,,,,,,
88,Shirbutt St o/s Holy Family School,537555.0,180892.0,Kerbside,67,30.7,missing,21.0,27.3,20.3,19.8,16.1,19.9,missing,missing,missing,21.6,22.09,19.50,annualised,,,,,
89,Thames Path Storers Quay,538730.0,178733.0,Roadside,100,37.3,32.1,20.9,32.3,17.9,21.8,16.1,21,32.2,29.9,25.7,19.8,25.58,19.70,,,,,,
90,Sextant Avenue,538674.0,178888.0,Kerbside,100,33.6,32.6,20.0,28.8,17.8,21.1,24.2,20.7,27.2,25.6,27.1,22.0,25.06,19.29,,,,,,
91,At the exit of MOT station,539007.0,181146.0,Kerbside,92,40.6,40.4,30.6,35.2,23.3,25.0,27.6,28.9,missing,32.3,23.2,30.7,30.71,23.65,,,,,,
92,At the entrance of MOT station,538907.0,181127.0,Roadside,92,43.1,48.1,34.5,41.5,29.7,34.5,33.7,36.7,missing,40.6,40.3,33.8,37.86,29.16,,,,,,
93,Millwall Park- North Greenwich Bowls Club (Co-location site),538016.0,178569.0,Urban background,42,N/A,N/A,N/A,N/A,16.4,14.8,13.8,17.7,missing,nul (<0.6),nul (<0.5),21.8,,,,,,,,
94,Millwall Park- North Greenwich Bowls Club(Co-location site),538016.0,178569.0,Urban background,42,N/A,N/A,N/A,N/A,14.9,15.0,11.8,17.5,missing,nul (<0.6),nul (<0.5),22.6,,,,,,,,
